ID,Titulo,Capitulos,Año,Sinopsis,Genero,Actores,Tipo,Link
48,America To Me,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/america-to-me/38818
49,Tales of Wells Fargo,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/tales-of-wells-fargo/29903
50,Wagon Train,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/wagon-train/14249
51,The Rifleman,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-rifleman/46124
52,Laramie,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/laramie/23868
53,The Virginian,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-virginian/33035
54,The Men From Shiloh,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-men-from-shiloh/35496
55,Pit Pony,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/pit-pony/23633
56,The Gambler: The Adventure Continues,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-gambler-the-adventure-continues/46046
57,The Gambler V: Playing For Keeps,10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
58,"The Gambler, Part Iii: The Legend Continues",10 Episodes,2018-2018,"Academy Award nominated filmmaker Steve James (Hoop Dreams, Life Itself) examines racial, economic and class issues in contemporary American education",Documentary,"Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-gambler-part-iii-the-legend-continues/45628
59,Power Universe,0 Episodes,"There are no absolutes. In the end, there's just you. Catch up on all chapters of the Power Universe. Power Book III: Raising Kanan Season 3 out now.",,"Crime, Drama","Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/power-universe/62589
60,Mary & George,0 Episodes,"There are no absolutes. In the end, there's just you. Catch up on all chapters of the Power Universe. Power Book III: Raising Kanan Season 3 out now.",,"Crime, Drama","Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/mary-george/71640
61,The Gambler V: Playing For Keeps,0 Episodes,"There are no absolutes. In the end, there's just you. Catch up on all chapters of the Power Universe. Power Book III: Raising Kanan Season 3 out now.",,"Crime, Drama","Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
62,The Gambler V: Playing For Keeps,0 Episodes,"There are no absolutes. In the end, there's just you. Catch up on all chapters of the Power Universe. Power Book III: Raising Kanan Season 3 out now.",,"Crime, Drama","Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
63,The Gambler V: Playing For Keeps,0 Episodes,"There are no absolutes. In the end, there's just you. Catch up on all chapters of the Power Universe. Power Book III: Raising Kanan Season 3 out now.",,"Crime, Drama","Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
64,The Gambler V: Playing For Keeps,0 Episodes,"There are no absolutes. In the end, there's just you. Catch up on all chapters of the Power Universe. Power Book III: Raising Kanan Season 3 out now.",,"Crime, Drama","Starring Melissa Barrera, Mishel Prada, Ser Anzoategui",Serie,https://www.starz.com/us/en/series/the-gambler-v-playing-for-keeps/45619
