ID,titulo,Duracion,Año,Sinopsis,Genero,Actores,Tipo,Link
177,Playing It Cool,95 MINS,2014,A struggling screenwriter is assigned to pen a romantic comedy - except he's never been in love. Then he meets a charming young woman and discovers wh,"COMEDY, ROMANCE","Starring Chris Evans, Michelle Monaghan, Topher Grace",Pelicula,https://www.starz.com/us/en/movies/playing-it-cool-24017
178,The Curse of La Patasola,84 MINS,2022,"On a weekend camping trip, two struggling couples are haunted by La Patasola, a famed vampiric monster from Amazonian folklore.",HORROR,"Starring AJ Jones, Luciana Faulhaber, Patrick Walker",Pelicula,https://www.starz.com/us/en/movies/the-curse-of-la-patasola-67037
179,The Whole Nine Yards,98 MINS,2000,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss","COMEDY, CRIME","Starring Bruce Willis, Matthew Perry, Rosanna Arquette",Pelicula,https://www.starz.com/us/en/movies/the-whole-nine-yards-51703
180,The Meddler,103 MINS,2015,A widow from New York City follows her daughter to L.A. hoping to start a new life after her husband passes away. A chance encounter with a security g,"ROMANCE, COMEDY","Starring Rose Byrne, Lucy Punch, J.K. Simmons",Pelicula,https://www.starz.com/us/en/movies/the-meddler-29594
181,Blame,99 MINS,2017,"A substitute drama teacher at a suburban high school develops a taboo relationship with an unstable student, sparking a trail of jealous sabotage from","DRAMA, SUSPENSE","Starring Quinn Shephard, Chris Messina, Nadia Alexander",Pelicula,https://www.starz.com/us/en/movies/blame-65076
182,The Jane Austen Book Club,105 MINS,2007,"Six Californians start a Jane Austen book club devoted to the English author's intricate, romantic novels - and soon find their lives mirroring the 19","COMEDY, DRAMA","Starring Maria Bello, Hugh Dancy, Emily Blunt",Pelicula,https://www.starz.com/us/en/movies/the-jane-austen-book-club-33373
183,There's Something About Mary,119 MINS,1998,"A Wall Street broker decides to look up a girl he had a crush on in high school, but the private investigator he hires to find her ends up falling for","COMEDY, ROMANCE","Starring Cameron Diaz, Matt Dillon, Ben Stiller",Pelicula,https://www.starz.com/us/en/movies/theres-something-about-mary-26255
184,Downton Abbey: A New Era,125 MINS,2022,Follow-up to the 2019 feature film in which the Crawley family and Downton staff received a royal visit from the King and Queen of Great Britain.,"DRAMA, ROMANCE","Starring Hugh Bonneville, Jim Carter, Michelle Dockery",Pelicula,https://www.starz.com/us/en/movies/downton-abbey-a-new-era-64981
185,Our Deadly Vows,81 MINS,2023,"Before moving to Spain, a young couple gathers with friends for one last hurrah, but what starts as a loving dinner party, ends in a bloody fight for survival where no one is to be trusted.","DRAMA, HORROR","Starring K.D. Chalk, Chris Chalk, Ashlei Sharpe Chestnut",Pelicula,https://www.starz.com/us/en/movies/our-deadly-vows-69835
186,The Possession,92 MINS,2012,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with hi","HORROR, SUSPENSE","Starring Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis",Pelicula,https://www.starz.com/us/en/movies/the-possession-50657
187,Firestarter,94 MINS,2022,An operative pursues an 11-year-old girl who can turn fire into a weapon of mass destruction.,"HORROR, DRAMA","Starring Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon",Pelicula,https://www.starz.com/us/en/movies/firestarter-66776
188,Body Parts,86 MINS,2022,"An insightful and revealing documentary that shows the evolution of desire and ""sex"" on-screen from a female perspective.",DOCUMENTARY,"Starring Rose McGowan, Mishel Prada, Jane Fonda",Pelicula,https://www.starz.com/us/en/movies/body-parts-68817
189,Cheaper By The Dozen,98 MINS,2003,"While his wife is away on business, a college football coach must handle the chaos surrounding his 12 children.","COMEDY, FAMILY","Starring Steve Martin, Bonnie Hunt, Piper Perabo",Pelicula,https://www.starz.com/us/en/movies/cheaper-by-the-dozen-32924
190,League of Gods,109 MINS,2016,King Zhou slowly turns into a tyrant due to the influence of a vixen spirit. Subtitled.,"ACTION, FANTASY","Starring Jet Li, Tony L. Ka Fai, Louis Koo",Pelicula,https://www.starz.com/us/en/movies/league-of-gods-34795
191,Reno 911!: Miami,80 MINS,2007,A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring,"COMEDY, CRIME","Starring Thomas Lennon, Ben Garant, Mary Birdsong",Pelicula,https://www.starz.com/us/en/movies/reno-911-miami-51186
192,Incarnation,88 MINS,2022,"A young couple find a beautiful house in Los Angeles, but their dream home hides a secret far more sinister than they ever could have imagined.","HORROR, SUSPENSE","Starring Taye Diggs, Jessica Uberuaga, Michael Madsen",Pelicula,https://www.starz.com/us/en/movies/incarnation-67544
193,88,122 MINS,2022,"Set during a fictionalized version of the 2024 Presidential campaign, 88 unspools a conspiracy that involves strange patterns in the donations coming","DRAMA, MYSTERY","Starring Orlando Jones, Dixon Brandon Victor, William Fichtner",Pelicula,https://www.starz.com/us/en/movies/88-69326
194,The Girl With All The Gifts,111 MINS,2016,"In the future, a strange fungus has changed nearly everyone into a thoughtless, flesh-eating monster. When a scientist and a teacher find a girl who seems to be immune, they all begin a journey to save humanity.","HORROR, DRAMA","Starring Gemma Arterton, Glenn Close, Paddy Considine",Pelicula,https://www.starz.com/us/en/movies/the-girl-with-all-the-gifts-70786
195,The Mist,126 MINS,2007,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for the","HORROR, SCI-FI","Starring Thomas Jane, Marcia Gay Harden, Laurie Holden",Pelicula,https://www.starz.com/us/en/movies/the-mist-66442
196,"""50/50""",100 MINS,2011,A young man struggles to come to terms with his cancer diagnosis as he is forced to question everything he thought was important in life.,"COMEDY, DRAMA","Starring Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick",Pelicula,https://www.starz.com/us/en/movies/50-50-50806
197,Fighting,104 MINS,2009,A New York City counterfeiter is introduced to the world of underground street fighting by a seasoned scam artist - who becomes his manager on the bar,"ACTION, DRAMA","Starring Terrence Dashon Howard, Anthony DeSando, Jermel Wilson",Pelicula,https://www.starz.com/us/en/movies/fighting-44936
198,Zero Dark Thirty,157 MINS,2012,"The decade-long hunt for Osama Bin Laden is depicted - the controversial interrogations, dead ends, and puzzling clues are pieced together, leading to","DRAMA, TRUE STORY","Starring Jessica Chastain, Mark Strong, Joel Edgerton",Pelicula,https://www.starz.com/us/en/movies/zero-dark-thirty-50502
199,The Infiltrator,127 MINS,2016,"In 1986, federal agent Robert Mazur poses as a money-laundering businessman to infiltrate the trafficking network of Colombian drug kingpin Pablo Esco","CRIME, DRAMA","Starring Bryan Cranston, Diane Kruger, John Leguizamo",Pelicula,https://www.starz.com/us/en/movies/the-infiltrator-68613
200,Light It Up,99 MINS,1999,A group of students protesting the dismissal of their favorite teacher end up holding a wounded police officer hostage and demanding improvements to t,DRAMA,"Starring Vanessa Williams, Forest Whitaker, Usher",Pelicula,https://www.starz.com/us/en/movies/light-it-up-24306
201,Slender Man,93 MINS,2018,"Slender Man tells the story of a tall, thin horrifying figure with unnaturally long arms and a featureless face, who is reputed to be responsible for","HORROR, SUSPENSE","Starring Joey King, Julia Goldani Telles, Jaz Sinclair",Pelicula,https://www.starz.com/us/en/movies/slender-man-43753
202,House of 9,90 MINS,2005,"A group of strangers is drugged, kidnapped and held captive in a house with no escape other than to compete with each other - and the one left alive a","DRAMA, HORROR","Starring Dennis Hopper, Kelly Brook, Hippolyte Girardot",Pelicula,https://www.starz.com/us/en/movies/house-of-9-68362
203,House of 9,90 MINS,2005,"A group of strangers is drugged, kidnapped and held captive in a house with no escape other than to compete with each other - and the one left alive a","DRAMA, HORROR","Starring Dennis Hopper, Kelly Brook, Hippolyte Girardot",Pelicula,https://www.starz.com/us/en/movies/pusher-70846
204,Witch Hunt,97 MINS,2021,"In a modern America where witches are real and witchcraft is illegal, a sheltered teenager must face her own demons and prejudices.","HORROR, SUSPENSE","Starring Gideon Adlon, Abigail Cowen, Christian Camargo",Pelicula,https://www.starz.com/us/en/movies/witch-hunt-66513
205,Talk To Me,118 MINS,2007,"Fueled by the music and social upheaval of the times, ex-convict Ralph ""Petey"" Greene becomes a radio personality and courts controversy in 1960s Wash","DRAMA, TRUE STORY","Starring Don Cheadle, Cedric The Entertainer, Mike Epps",Pelicula,https://www.starz.com/us/en/movies/talk-to-me-34856
206,Talk To Me,118 MINS,2007,"Fueled by the music and social upheaval of the times, ex-convict Ralph ""Petey"" Greene becomes a radio personality and courts controversy in 1960s Wash","DRAMA, TRUE STORY","Starring Don Cheadle, Cedric The Entertainer, Mike Epps",Pelicula,https://www.starz.com/us/en/movies/summoning-sylvia-69831
207,Revenge Of The Nerds,90 MINS,1984,"The original geek squad in their first screen adventure! Nerdy freshmen, hassled by jocks and beautiful coeds, band together in their own fraternity",COMEDY,"Starring Robert Carradine, Anthony Edwards, Ted McGinley",Pelicula,https://www.starz.com/us/en/movies/revenge-of-the-nerds-33425
208,Redeeming Love,134 MINS,2022,"After meeting Michael and experiencing love for the first time, Angel, facing demons that seem unbeatable, learns that she has the power to choose the life she wants.","DRAMA, ROMANCE","Starring Abigail Cowen, Tom Lewis, Logan Marshall-Green",Pelicula,https://www.starz.com/us/en/movies/redeeming-love-67049
