ID,titulo,Duracion,Año,Sinopsis,Genero,Actores,Tipo,Link
108,The Fan,116 MINS,1996,"As a middle-aged salesman's life unravels, his obsession with a star baseball player turns from fan to fanatical - and ultimately murderous!","DRAMA, SUSPENSE","Starring Robert De Niro, Wesley Snipes, Ellen Barkin",Pelicula,https://www.starz.com/us/en/movies/the-fan-10064
109,Match Me If You Can,104 MINS,2023,"After being deemed ""unmatchable,"" a scorned computer nerd declares war against a dating service, becoming an accidental spokesperson for all frustrate","COMEDY, ROMANCE","Starring Georgina Reilly, Wilson Bethel, Brian George",Pelicula,https://www.starz.com/us/en/movies/match-me-if-you-can-71244
110,Passengers,116 MINS,2016,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passe","ADVENTURE, ROMANCE","Starring Jennifer Lawrence, Chris Pratt, Michael Sheen",Pelicula,https://www.starz.com/us/en/movies/passengers-29368
111,Lake Placid,82 MINS,1999,"In a remote lake in Maine, something is chewing through animals and humans like never before - an eccentric team assembles to tackle a ravenous 30-foo","ACTION, COMEDY","Starring Bill Pullman, Bridget Fonda, Oliver Platt",Pelicula,https://www.starz.com/us/en/movies/lake-placid-47826
112,Hanging Up,94 MINS,2000,"Three successful, slightly manic adult sisters must come to grips with their elderly dad's declining health - even though none of them are close to hi","COMEDY, DRAMA","Starring Meg Ryan, Lisa Kudrow, Diane Keaton",Pelicula,https://www.starz.com/us/en/movies/hanging-up-12099
113,Dr. Dolittle 2,87 MINS,2001,He talks to the animals - again! Dr. Dolittle tries to convince two wildly different bears that they must come together to save a forest slated for de,"COMEDY, FAMILY","Starring Eddie Murphy, Kristen Wilson, Raven-Symone",Pelicula,https://www.starz.com/us/en/movies/dr-dolittle-2-41551
114,Planet 51,91 MINS,2009,Planet 51 - a far-away world recalling 1950s America - is paranoid about alien invasions from outer space. So when a NASA astronaut lands and hysteria,"ANIMATED, ADVENTURE","Starring Dwayne Johnson, Jessica Biel, Justin Long",Pelicula,https://www.starz.com/us/en/movies/planet-51-36259
115,Stripped: Los Angeles,76 MINS,2020,"Stripped is an intimate glimpse into the lives of Los Angeles' top exotic dancers, highlighting the aspirational and empowering stories that challenge the way society stigmatizes the profession.",DOCUMENTARY,"Starring Dwayne Johnson, Jessica Biel, Justin Long",Pelicula,https://www.starz.com/us/en/movies/stripped-los-angeles-61293
116,Ali,156 MINS,2001,"A pivotal decade in the life of heavyweight boxing legend Muhammad Ali - his rise to the top of the sport, his refusal to go to Vietnam, and his comeback fights with Foreman and Frazier.","BIOGRAPHY, DRAMA","Starring Will Smith, Jamie Foxx, Jon Voight",Pelicula,https://www.starz.com/us/en/movies/ali-37309
117,Ambulance,136 MINS,2022,"A decorated veteran teams up with his adoptive brother to steal $32 million from a Los Angeles bank. When their getaway goes wrong, the desperate thieves hijack an ambulance that's carrying a wounded cop and an EMT worker.","ACTION, SUSPENSE","Starring Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González",Pelicula,https://www.starz.com/us/en/movies/ambulance-64749
118,Tomorrowland,130 MINS,2015,"A former boy genius and a gifted teenager set out on a dangerous mission to unearth the secrets of Tomorrowland, a mysterious place caught between tim","ADVENTURE, SCI-FI","Starring George Clooney, Hugh Laurie, Britt Robertson",Pelicula,https://www.starz.com/us/en/movies/tomorrowland-25407
119,The Nut Job,85 MINS,2014,A mischievous squirrel and his sidekick assemble a ragtag animal crew to get inside their town's nut shop and steal enough food for the winter.,"ANIMATED, ADVENTURE","Starring Liam Neeson, Brendan Fraser, Katherine Heigl",Pelicula,https://www.starz.com/us/en/movies/the-nut-job-50933
120,Sabotage,109 MINS,2014,Members of an elite DEA task force are eliminated one by one following their successful robbery of a powerful drug cartel's safe house.,"ACTION, CRIME","Starring Arnold Schwarzenegger, Sam Worthington, Terrence Howard",Pelicula,https://www.starz.com/us/en/movies/sabotage-50620
121,Beyond the Lights,116 MINS,2014,A local police officer saves the life of a singer on the edge in more ways than one in this enchanting romantic drama.,"ROMANCE, DRAMA","Starring Gugu Mbatha-Raw, Nate Parker, Danny Glover",Pelicula,https://www.starz.com/us/en/movies/beyond-the-lights-50803
122,Death Race,104 MINS,2008,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in a lethal car race where inmates must brutalize and kill one another on,"ACTION, SCI-FI","Starring Jason Statham, Tyrese Gibson, Ian McShane",Pelicula,https://www.starz.com/us/en/movies/death-race-50204
123,As Good As Dead,89 MINS,2022,A man with a mysterious past moves to a small Mexican border-town to start over. He reluctantly befriends a troubled local teen who is being recruited by the local street gang.,"ACTION, CRIME","Starring Michael Jai White, Tom Berenger, Louis Mandylor",Pelicula,https://www.starz.com/us/en/movies/as-good-as-dead-69324
124,Cold Skin,106 MINS,2017,"A young man arrives on a desolate island to assume the post of weather observer. He finds no trace of the man he was sent to replace, just a deranged","HORROR, SCI-FI","Starring Ray Stevenson, David Oakes, Aura Garrido",Pelicula,https://www.starz.com/us/en/movies/cold-skin-65156
125,Aloha,104 MINS,2015,A military contractor unexpectedly falls for an Air Force officer while reconnecting with an ex.,"COMEDY, ROMANCE","Starring Emma Stone, Rachel McAdams, Ivana Milicevic",Pelicula,https://www.starz.com/us/en/movies/aloha-23582
126,A Beautiful Day in the Neighborhood,108 MINS,2019,Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.,"DRAMA, BIOGRAPHY","Starring Tom Hanks, Matthew Rhys, Chris Cooper",Pelicula,https://www.starz.com/us/en/movies/a-beautiful-day-in-the-neighborhood-52158
127,Among The Beasts,100 MINS,2023,"One year after his own niece's disappearance, a traumatized Marine is recruited by a drug kingpin to find another missing girl with a very similar sto","ACTION, MYSTERY","Starring Tory Kittles, Libe Barer, Sarunas J. Jackson",Pelicula,https://www.starz.com/us/en/movies/among-the-beasts-68903
128,The Wedding Ringer,101 MINS,2015,"A socially-awkward, friendless groom hires a fast-talking entrepreneur to procure a crew of fake buddies and pose as the best man for his upcoming mar","COMEDY, ROMANCE","Starring Kevin Hart, Josh Gad, Affion Crockett",Pelicula,https://www.starz.com/us/en/movies/the-wedding-ringer-22895
129,Rebound,86 MINS,2005,"Suspended after a public outburst, a college basketball coach accepts a short-term job with a team of middle schoolers.","COMEDY, FAMILY","Starring Martin Lawrence, Wendy Raquel Robinson, Steven Anthony Lawrence",Pelicula,https://www.starz.com/us/en/movies/rebound-26063
130,The Karate Kid,127 MINS,1984,"Daniel, a New Jersey teen, moves to California and finds himself the target of bullies - but then he meets Mr. Myagi and discovers martial arts!","ACTION, ADVENTURE","Starring Ralph Macchio, Pat Morita, Elisabeth Shue",Pelicula,https://www.starz.com/us/en/movies/the-karate-kid-6462
131,Prey For The Devil,93 MINS,2022,A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.,"HORROR, SUSPENSE","Starring Virginia Madsen, Jacqueline Byers, Christian Navarro",Pelicula,https://www.starz.com/us/en/movies/prey-for-the-devil-60222
132,Careful What You Wish For,91 MINS,2015,Complications arise when a young man has an affair with the seductive wife of an investment banker.,"SUSPENSE, DRAMA","Starring Nick Jonas, Dermot Mulroney, Isabel Lucas",Pelicula,https://www.starz.com/us/en/movies/careful-what-you-wish-for-27614
133,Naked Singularity,93 MINS,2021,An idealistic NYC public defender burned out by the system takes matters into his own hands when he joins an old client on a high-stakes drug heist.,"CRIME, DRAMA","Starring John Boyega, Olivia Cooke, Bill Skarsgård",Pelicula,https://www.starz.com/us/en/movies/naked-singularity-64730
134,Armored,88 MINS,2009,A rookie armored-truck guard is persuaded by his co-workers to join in on a foolproof $42 million heist that promises no violence - but things go wron,"ACTION, CRIME","Starring Matt Dillon, Jean Reno, Laurence Fishburne",Pelicula,https://www.starz.com/us/en/movies/armored-36096
135,The Grudge,93 MINS,2020,A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,"HORROR, MYSTERY","Starring Tara Westwood, John Cho, Andrea Riseborough",Pelicula,https://www.starz.com/us/en/movies/the-grudge-52188
136,Thumbelina,86 MINS,1994,"Based on the famous fairy tale - tiny Thumbelina longs for a husband, and soon meets a fairy prince. But they are separated, and Thumbelina tumbles in","ANIMATED, FAMILY","Starring Jodi Benson, Kenneth Mars, Charo",Pelicula,https://www.starz.com/us/en/movies/thumbelina-23863
137,The Reef 2: High Tide,80 MINS,2012,"Trained in the skills of sea power, Pi the fish can fight any predator that threatens his friends and neighbors on the reef. Unfortunately, being the","ANIMATED, ADVENTURE","Starring Busy Philipps, Rob Schneider, Frankie Jonas",Pelicula,https://www.starz.com/us/en/movies/the-reef-2-high-tide-65110
138,Home Alone 3,102 MINS,1997,The slapstick kid vs. bad guys adventures continue as little Alex discovers spies are trying to retrieve a top-secret microchip - but they encounter a maze of hilarious booby traps when they enter Alex's house!,"COMEDY, FAMILY","Starring Alex D. Linz, Olek Krupa, Rya Kihlstedt",Pelicula,https://www.starz.com/us/en/movies/home-alone-3-32938
