Titulo,Temporadas,Capitulos,Nombre del capitulo,Duracion y Fecha,Sinopsis del capitulo,Link
Da Vinci's Demons,3,10,Ep 310 - Ira Deorum,TV-MA | 49 MINS | 2015,"Following the Ottoman army's ambush on Crusage forces, Leo must put his faith in his friends and in himself if they're to have a chance to defeat the Turks.",https://www.starz.com/us/en/series/da-vincis-demons/17021
Magic City,2,8,Ep 208 - The Sins of the Father,TV-MA | 55 MINS | 2013,Ike and Ben's future hangs on the outcome of the gambling bill. Klein weighs Ike's offer to get The Butcher. Stevie and Lily face the end. Vera's heart is broken. What has Ike won?,https://www.starz.com/us/en/series/magic-city/12616
The Deceived,1,4,Ep 104 - Episode 104,TV-MA | 45 MINS | 2021,Ophelia tries desperately to escape Knockdara as the truth about Roisin finally breaks through the lies spun between Cambridge and Ireland.,https://www.starz.com/us/en/series/the-deceived/60704
Minx,2,8,Ep 208 - Woman of the Hour,TV-MA | 31 MINS | 2023,"At the Minx International launch party, Doug confronts Constance, while Joyce starts to lose control of her magazine. Shelly and Lenny look towards an uncertain future.",https://www.starz.com/us/en/series/minx/69108
Dublin Murders,1,8,Ep 108 - Episode 108,TV-MA | 60 MINS | 2019,The finale finds Rob and Cassie forced into a face-to-face reunion.,https://www.starz.com/us/en/series/dublin-murders/45426
Leavenworth,1,6,Ep 106 - Leavenworth Series Update,TV-MA | 18 MINS | 2020,Get updates on the case as Clint is pardoned from Leavenworth.,https://www.starz.com/us/en/series/leavenworth/45100
Ambitions,1,18,Ep 118 - Save The Best For Last,TV-14 | 42 MINS | 2019,Stephanie and Amara keep their friends close and enemies closer.,https://www.starz.com/us/en/series/ambitions/58687
Confronting a Serial Killer,1,5,Ep 105 - No Longer Jane Doe,TV-MA | 53 MINS | 2021,"Dealing with a psychopath takes its toll on Jillian's psyche and family. Dozens of states close cases, laying bare the havoc Little wrought and triggering a long-overdue public reckoning.",https://www.starz.com/us/en/series/confronting-a-serial-killer/59920
Party Down,3,10,Ep 210 - Constance Carmell Wedding,TV-MA | 30 MINS | 2010,"Constance is getting married and she's hired her Party Down friends to make sure they attend. Ron, guided by Constance's wisdom to 'follow your heart', makes a desperate bid for love.",https://www.starz.com/us/en/series/party-down/2011
SEDUCED: INSIDE THE NXIVM CULT,1,4,Ep 104 - EXPOSED,TV-MA | 80 MINS | 2020,Catherine begins the fight of her life to expose the cult and rescue her daughter.,https://www.starz.com/us/en/series/seduced-inside-the-nxivm-cult/59967
